ID;Futuro;Faltas;Dever;Gosta_escola;Notas;Alcool;Inalantes;Sexo;Idade;Ano_escolar;Autoeficacia;Intromissao;Antisocial
1;Eu vou ser um grande piloto de dinossauro vivido no Acre,                                                                                                                                                       ;4;1;1;1;2;1;2;14;7;1,06;1,73;1,91
2;Calma, tranquila e muito trabalho pra mim trabalhar                                                                                                                                                             ;1;5;4;3;1;1;2;11;6;1,2;2,44;1,07
3;Ter filhos se casa ter um emprego bom termi os estudos e etc,                                                                                                                                                 ;1;4;3;2;1;1;1;11;6;1,46;0,95;1,06
4;Um vida muito boa com recursos, uma família e ter filhos e com uma mulher gostosa pra mim ter filhos                                                                                                            ;3;5;3;1;2;2;2;14;;1,47;4,56;4,44
5;Imagino um monte de coisas que possa me fazer bem                                                                                                                                                               ;1;5;3;3;1;1;2;12;;1,58;1,46;1,1
6;vou ter dois filhos um Meninos e uma Meninas vou ter uma boa mulher e um bom trabalho                                                                                                                             ;1;4;4;2;1;1;2;13;6;1,6;2,56;1,18
7;Eu trabalhando, tendo meus dois filhos e (ilegível) das coisas que faço,                                                                                                                                        ;1;1;1;1;2;1;2;13;6;1,62;4;2,29
8;Normal                                                                                                                                                                                                          ;2;3;3;2;2;1;2;13;7;1,82;2,45;1,36
9;Sendo Bombeiro                                                                                                                                                                                                  ;1;5;2;2;2;1;2;13;6;1,95;5,04;0,98
10;Uma pessoa com sucesso, quero se professora, mora com minha amiga                                                                                                                                               ;2;5;3;3;2;2;1;11;6;1,98;0,87;1,34
11;Uma vida com boas condições                                                                                                                                                                                     ;1;2;1;1;2;2;1;14;9;2;1,51;2,12
12;um trabalhador onesto e anda de skate s horas vagas                                                                                                                                                           ;1;4;3;3;2;1;2;14;6;2;2,97;1,75
13;eu delegada numa casa enomer                                                                                                                                                                                    ;3;3;3;2;1;1;1;12;6;2,08;1,02;1,32
14;Não sei direito estou tentando me esforça para isso                                                                                                                                                             ;3;2;1;1;1;1;1;13;8;2,12;4,19;2,64
15;                                                                                                                                                                                                                ;1;2;3;2;2;1;1;13;7;2,2;3,19;2,38
16;bombeira                                                                                                                                                                                                        ;1;2;3;1;2;1;1;12;6;2,24;3,98;1,37
17;Peto da minha familia e trabalha para ajuda minha familia e isso que eu quero para meu futuro                                                                                                                   ;1;5;4;2;1;1;1;12;6;2,25;0,97;1,02
18;bom me imagiria casada com dois filhos e um bom emprego                                                                                                                                                       ;4;2;3;1;2;1;1;14;8;2,28;2,06;2,41
19;Eu imagino que minha vida no futuro vai ser brilhante vou ter um trabalho minha familia e ser feliz                                                                                                             ;1;5;5;1;2;2;1;13;7;2,28;4,26;2,75
20;rico e solteiro                                                                                                                                                                                                 ;2;3;3;2;2;1;2;14;7;2,3;1,24;2,7
21;;1;5;4;3;1;1;1;12;7;2,31;1,68;1,68
22;Uma merda                                                                                                                                                                                                       ;1;3;1;2;2;1;2;14;9;2,32;2,55;1,69
23;Normal, assim como a de hoje                                                                                                                                                                                    ;1;4;2;2;2;2;1;12;7;2,36;1,73;1,26
24;                                                                                                                                                                                                                ;3;2;2;2;2;2;2;;9;2,38;1,72;1,33
25;Formada em policia Civil,                                                                                                                                                                                       ;4;2;1;1;2;1;1;14;9;2,41;2,04;2,39
26;                                                                                                                                                                                                                ;4;2;2;1;1;1;2;13;8;2,43;1,76;2,12
27;Uma vida bem sucedida                                                                                                                                                                                           ;1;2;3;1;2;1;1;14;9;2,43;3,91;3,31
28;Eu quero estuda muito para ter um futuro bem                                                                                                                                                                    ;1;4;3;2;2;1;1;13;7;2,45;1,92;2,4
29;                                                                                                                                                                                                                ;2;5;4;1;1;1;1;;7;2,47;2,51;0,94
30;Uma pessoa famosa, morando com minha morada                                                                                                                                                                   ;2;2;3;2;2;2;1;12;6;2,51;0,97;2,02
31;Que seja bem moderno que as coisas sejam mais faceis, E que tenha banstante mulher bonita                                                                                                                       ;2;4;2;2;2;1;2;14;7;2,51;1,28;1,42
32;Eu me imagino bem de vida por que eu me esforço bastante pra poder ter uma vida boa                                                                                                                             ;1;3;3;2;2;2;2;14;9;2,53;2,17;3,17
33;Não sei                                                                                                                                                                                                         ;1;3;3;2;1;1;2;12;7;2,58;1,05;0,96
34;Eu trabalhando de biologia casada com meu atual morado, e com 2 filhos, com a casa própria                                                                                                                    ;3;4;3;3;2;1;1;;9;2,6;4,03;2,28
35;Eu quero ser professor de Historia                                                                                                                                                                              ;1;2;4;2;1;1;2;12;6;2,64;1,03;1,45
36;Eu imagino que ira ser muito legal e bastante divertido                                                                                                                                                         ;3;2;3;2;1;1;1;13;6;2,65;1,74;1,36
37;Um professor bem sucedido e um esposo também                                                                                                                                                                    ;1;3;5;2;2;1;2;12;7;2,65;4,93;4,35
38;;1;1;5;1;2;2;2;14;8;2,66;4,08;3,79
39;Eu você dois filhos e um cachorro                                                                                                                                                                               ;1;2;3;2;2;1;2;14;8;2,68;2,54;1,21
40;com uma família maravilhosa um trabalho que eu goste (pediatra) e com meus pais ainda perto de mim                                                                                                              ;2;2;3;2;2;1;1;13;8;2,69;2,06;2,11
41;;2;3;3;1;2;1;2;14;7;2,69;2,25;1,16
42;ter uma vida boa trabalhar ter uma familia quando creser                                                                                                                                                        ;1;3;5;2;2;1;2;14;6;2,69;3,02;1,7
43;Que eu tenha um bom emprego, e que eu possa ajuda minha mãe e familia                                                                                                                                           ;1;4;3;2;2;2;2;13;8;2,7;2,46;2,04
44;eu imagino minha vida com um emprego que dê pra sustentar minha família, quero ter 1 filho, um marido trabalhador e ser feliz                                                                                   ;3;2;3;2;2;1;1;13;9;2,7;4,98;2,15
45;Normal, como hoje,                                                                                                                                                                                              ;1;3;1;2;2;2;1;13;7;2,71;1,74;2,01
46;Formada em direito, modelo e rica                                                                                                                                                                               ;1;2;3;2;2;1;1;12;7;2,71;1,83;2,94
47;legal                                                                                                                                                                                                           ;2;4;4;3;2;1;2;11;6;2,71;2,51;2,6
48;Ser alguém grande respeitado por todos e respeitar a todos que nem os tio do proerd                                                                                                                             ;2;2;4;2;2;1;2;14;9;2,72;5,02;3,88
49;Não sei                                                                                                                                                                                                         ;1;3;3;1;2;1;1;13;8;2,73;1,53;1,35
50;Ainda não pensei nisso                                                                                                                                                                                          ;1;2;3;1;2;2;1;12;6;2,74;2,03;3,28
51;bom e bem sucedida                                                                                                                                                                                              ;1;2;5;2;2;1;2;14;9;2,75;1,31;2,47
52;                                                                                                                                                                                                                ;1;5;5;3;2;1;1;14;;2,76;2,58;1,16
53;Ter casa e uma familia                                                                                                                                                                                          ;2;2;2;2;2;1;2;14;7;2,77;2,26;1,01
