"ID";"Futuro";"Faltas";"Dever";"Gosta_escola";"Notas";"Alcool_vida";"Inalante_vida";"Sexo";"Idade";"Ano_escolar";"Autoeficacia";"Intromissao";"Antisocial";"Num_char_futuro";"Futuro2"
1;"Eu vou ser um grande piloto de dinossauro vivido no Acre,                                                                                                                                                       ";.;1;1;1;"Não2";"Não1";2;14;7;"1,06";"1,73";"1,91";208;"EU VOU SER UM G"
2;"Calma, tranquila e muito trabalho pra mim trabalhar                                                                                                                                                             ";.;5;4;3;"Não1";"Não1";2;11;6;"1,2";"2,44";"1,07";208;"CALMA, TRANQUIL"
3;"Ter filhos se casa ter um emprego bom termi os estudos e etc,                                                                                                                                                 ";.;4;3;2;"Não1";"Não1";1;11;6;"1,46";"0,95";"1,06";206;"TER FILHOS SE C"
6;"vou ter dois filhos um Meninos e uma Meninas vou ter uma boa mulher e um bom trabalho                                                                                                                             ";.;4;4;2;"Não1";"Não1";2;13;6;"1,6";"2,56";"1,18";210;"VOU TER DOIS FI"
7;"Eu trabalhando, tendo meus dois filhos e (ilegível) das coisas que faço,                                                                                                                                        ";.;1;1;1;"Não2";"Não1";2;13;6;"1,62";"4";"2,29";208;"EU TRABALHANDO,"
8;"Normal                                                                                                                                                                                                          ";.;3;3;2;"Não2";"Não1";2;13;7;"1,82";"2,45";"1,36";208;"NORMAL         "
9;"Sendo Bombeiro                                                                                                                                                                                                  ";.;5;2;2;"Não2";"Não1";2;13;6;"1,95";"5,04";"0,98";208;"SENDO BOMBEIRO "
10;"Uma pessoa com sucesso, quero se professora, mora com minha amiga                                                                                                                                               ";.;5;3;3;"Não2";"Não2";1;11;6;"1,98";"0,87";"1,34";208;"UMA PESSOA COM "
11;"Uma vida com boas condições                                                                                                                                                                                     ";.;2;1;1;"Não2";"Não2";1;14;9;"2";"1,51";"2,12";208;"UMA VIDA COM BO"
12;"um trabalhador onesto e anda de skate s horas vagas                                                                                                                                                           ";.;4;3;3;"Não2";"Não1";2;14;6;"2";"2,97";"1,75";206;"UM TRABALHADOR "
